unit_idx,status,modelo_n,gold,modelo,frase
160,FN (modelo se perdio),0,agradecimiento/gratitud (Milei) [infer],,Muchas gracias.
22,FP (modelo de mas),1,NINGUNA,sufri,De hecho – dado que los intercambios son voluntarios – no es posible hablar de f
44,FP (modelo de mas),2,NINGUNA (conf-baja),alegria;ansiedad,"Y si ese empresario no lo está haciendo bien, podrá aparecer otro que pueda brin"
76,FP (modelo de mas),1,NINGUNA,asco,De qué le serviría un trabajo de que le ofrezcan 12 millones de dólares al año s
77,FP (modelo de mas),1,NINGUNA,desesperanza,Se van a chocar contra su propia humanidad.
85,FP (modelo de mas),1,NINGUNA,esperanza,Tal que todo su ahorro se transforma en inversión.
124,FP (modelo de mas),1,NINGUNA,miedo,Supongamos que se juntan cuatro lobos y una gallina.
127,FP (modelo de mas),1,NINGUNA (conf-baja),ira,"En el fondo eso también es lo que pasa en la economía, la gallina de los huevos "
135,FP (modelo de mas),1,NINGUNA,ira,"Y ese libro parte de la hipótesis que Kirzner dice, el sistema capitalista es má"
0,TN,0,NINGUNA,,"Palabras del Presidente de la Nación, Javier Milei en la Conferencia Política de"
7,TN,0,NINGUNA,,"En cuanto a la génesis de este problema, el problema es un problema metodológico"
9,TN,0,NINGUNA,,El origen de este problema tiene que ver cuando se ponen a estudiar las cualidad
10,TN,0,NINGUNA,,Y en rigor el problema aparece cuando ingresa el análisis normativo de la mano d
11,TN,0,NINGUNA,,Básicamente la idea del óptimo de Pareto es que yo no puedo mejorar a alguien si
12,TN,0,NINGUNA,,"Concretamente si estoy en una situación, donde puedo mejorar a alguien y hago un"
13,TN,0,NINGUNA,,"Y obviamente, cuando esas oportunidades se agotan significa que estamos en el óp"
14,TN,0,NINGUNA,,"Y es ahí, donde aparecen las definiciones de fallos de mercados, que tienen dist"
15,TN,0,NINGUNA,,Otros casos son las externalidades: los bienes públicos en formación asimétrica 
20,TN,0,NINGUNA,,"Entonces lo primero que tenemos que entender es qué es el mercado, tener una bue"
21,TN,0,NINGUNA,,"En este sentido, el mercado es un proceso de cooperación social, donde se interc"
24,TN,0,NINGUNA,,"Por otra parte, también es muy importante tener bien claro cuáles son las instit"
27,TN,0,NINGUNA,,"En este sentido, cuando se hace un intercambio y alguien entrega un bien, a camb"
28,TN,0,NINGUNA,,"Y ese registro histórico, denominado precio es un mecanismo de transmisión de in"
29,TN,0,NINGUNA,,"Y como no necesariamente la cantidad demanda coincide con la ofrecida, cuando la"
30,TN,0,NINGUNA,,"Es decir, hay un proceso de ajuste."
34,TN,0,NINGUNA,,Otra de las instituciones importantes para los mercados es lo que se llama la li
35,TN,0,NINGUNA,,Y por otra parte hay dos instituciones que son muy importantes que son la divisi
39,TN,0,NINGUNA,,"Por eso, como decía Bastiat, “Donde entra el comercio, no entran las balas”."
48,TN,0,NINGUNA,,Esto dentro de la teoría del crecimiento económico y su evidencia empírica se ll
49,TN,0,NINGUNA,,"Si ustedes miran la historia, desde la era cristiana hacia adelante, el PBI per "
54,TN,0,NINGUNA,,"Sin embargo, esta presencia de rendimientos crecientes significa que hay estruct"
60,TN,0,NINGUNA (conf-baja),,"Entonces, veamos dónde están esos errores de la teoría neoclásica."
61,TN,0,NINGUNA,,En la versión más simple es porque dicen que el precio del monopolio es mayor qu
69,TN,0,NINGUNA,,"Entonces, la pregunta es: ¿Cuál es la verdadera respuesta, o el verdadero fundam"
71,TN,0,NINGUNA,,"Básicamente, tiene que ver con el análisis del óptimo de Pareto y el problema de"
72,TN,0,NINGUNA,,"El óptimo de Pareto, para que el equilibrio existente sea óptimo de Pareto, tant"
73,TN,0,NINGUNA,,Y el problema es que cuando tenemos rendimientos crecientes tenemos funciones de
81,TN,0,NINGUNA,,¿Qué sucede si esas grandes ganancias las ahorramos?
82,TN,0,NINGUNA,,Ese ahorro se transforma en inversión en otras empresas y eso genera crecimiento
89,TN,0,NINGUNA,,Así nadie puede acceder a ese dinero.
90,TN,0,NINGUNA,,¿Qué es lo que va a ocurrir?
97,TN,0,NINGUNA,,Si se regulara bajo el ideal neoclásico la cuasi renta sería cero.
98,TN,0,NINGUNA (conf-baja),,Y por lo tanto estaríamos en un mundo de la competencia perfecta donde no hay in
103,TN,0,NINGUNA (conf-baja),,"De hecho, les voy a contar un caso de un país que conozco, llamado Argentina."
121,TN,0,NINGUNA (conf-baja),,"Es decir, la democracia originalmente fue diseñada para respetar el derecho de l"
123,TN,0,NINGUNA,,Pero para que no quede en algo tan abstracto les voy a dar un ejemplo.
136,TN,0,NINGUNA,,"En ese sentido, trabaja sobre dos ideas, trabaja con el principio de apropiación"
137,TN,0,NINGUNA,,"Si ustedes descubren algo, son los dueños de esos."
138,TN,0,NINGUNA,,"Y la otra idea es la de Hayet, que es la de mercado como proceso de descubrimien"
153,TN,0,NINGUNA (conf-baja),,donde -por ejemplo- las chances de que tenga Mozart es mucho más grande si vive 
1,TP,1,orgullo (Milei) [infer] | determinacion (Milei) [infer],orgullo,Yo soy el león.
2,TP,1,amor/afecto (Milei->audiencia) [expl],amor,Yo también los amo.
3,TP,1,entusiasmo (Milei/audiencia) [infer],alegria,"Viva la libertad, carajo."
5,TP,3,agradecimiento/gratitud (Milei) [infer],agradecimiento;miedo;preocupacion,"En primer lugar, muchas gracias por esta invitación; en cuanto a la conferencia,"
6,TP,1,desaprobacion (Milei->neoclasica/socialismo) [infer],ira,"En este sentido, haré foco sobre cómo la economía neoclásica y su visión de los "
8,TP,1,enojo (el mundo neoclásico),ira,"Dado que la realidad es siempre muy compleja de analizar se analiza con modelos,"
16,TP,1,desaprobacion (Milei) [infer],ira,"Y en realidad, todas estas definiciones tan elegantes son todos elementos que ha"
