unit_idx,frase,claude_opus_4_8,claude_notas,qwen3-14b-q4_k_m,correccion_experto,ok
0,"Palabras del Presidente de la Nación, Javier Milei en la Conferencia Política de Acción Conservadora (CPAC), en Washington, Estados Unidos

Hola a todos.",NINGUNA,Encabezado + saludo.,0: ,,ok
1,Yo soy el león.,orgullo (Milei) [infer] | determinacion (Milei) [infer],'Yo soy el leon': autoafirmacion.,1: confianza(Yo),,ok
2,Yo también los amo.,amor/afecto (Milei->audiencia) [expl],'los amo'.,1: amor(Yo),,ok
3,"Viva la libertad, carajo.",entusiasmo (Milei/audiencia) [expl],"'Viva la libertad, carajo': exclamacion.",1: confianza(Yo),entusiasmo (Milei/audiencia) [infer],ok
4,"Parece que lo que decían como fenómeno barrial, se agrandó un poco el barrio.",satisfaccion/ironia (Milei) [infer] (conf-baja),'se agrando el barrio': autosatisfaccion ironica por el crecimiento del movimiento.,1: entusiasmo(enunciador),satisfaccion (Milei) [infer] (conf-baja),ok
5,"En primer lugar, muchas gracias por esta invitación; en cuanto a la conferencia, del día de hoy, dado el impacto de la Conferencia en Davos, en que señalé que Occidente está en peligro, dado el avance de las ideas estatistas, hoy haré foco en los fundamentos técnicos que sostenían dichas apreciaciones políticas, en aquella conferencia.",agradecimiento (Milei) [expl] (conf-baja),'muchas gracias por la invitacion': cortesia.,1: gratitud(Javier Milei),agradecimiento/gratitud (Milei) [infer],ok
6,"En este sentido, haré foco sobre cómo la economía neoclásica y su visión de los fallos del mercado son funcionales al avance del socialismo y cómo eso destruye al crecimiento económico poniendo un freno a las mejoras contra el bienestar y la lucha contra la pobreza.",desaprobacion (Milei->neoclasica/socialismo) [infer],'funcionales al avance del socialismo y eso destruye': rechazo + preocupacion.,1: descontento(enunciador),,ok
7,"En cuanto a la génesis de este problema, el problema es un problema metodológico entre modelos vs. realidad.",NINGUNA,Expositiva (problema metodologico).,0: ,,ok
8,"Dado que la realidad es siempre muy compleja de analizar se analiza con modelos, pero – en términos generales – cuando el modelo no mapea con la realidad uno corrige el modelo, descarta el modelo y el problema con el mundo neoclásico es que, frente a este problema, que el modelo no mapea con la realidad se enojan con la realidad, llamándola fallo de mercado.",NINGUNA,Expositiva (modelos vs realidad).,1: enojo(el mundo neoclásico),enojo (el mundo neoclásico),ok
9,"El origen de este problema tiene que ver cuando se ponen a estudiar las cualidades normativas del equilibrio competitivo, es decir que, mientras que el análisis se centraba en la existencia, en la unicidad y en la estabilidad eso no constituía un problema grave, desde el punto de vista político.",NINGUNA (conf-baja),Expositiva. A lo sumo desaprobacion muy debil al analisis normativo.,1: preocupación(el gobierno),NINGUNA,ok
10,Y en rigor el problema aparece cuando ingresa el análisis normativo de la mano del análisis de Pareto.,NINGUNA (conf-baja),Expositiva (Pareto).,0: ,NINGUNA,ok
