experienciador,tipo_emocion,modo_existencia,justificacion,recorte_id,codigo
Presidente Javier Milei,indignación,realizada,"El enunciador menciona el ""secuestro ilegal"" de Nahuel Gallo, calificándolo como una acción ilícita y, al decidir referirse a él antes de iniciar su discurso, expresa una reacción de indignación ante la injusticia señalada.",DISCURSO_048_FR_002,DISCURSO_048
Presidente Javier Milei,indignación,realizada,"El enunciador condena a Nicolás Maduro como ""dictador criminal"" y señala la injusticia de la detención por un delito trivial, lo que indica indignación hacia la situación.",DISCURSO_048_FR_003,DISCURSO_048
Presidente Javier Milei,contempto,realizada,"El calificativo ""dictador criminal"" y la referencia a la detención por un delito trivial reflejan un sentimiento de desprecio o contempto hacia Maduro y su régimen.",DISCURSO_048_FR_003,DISCURSO_048
Presidente Javier Milei,indignación,realizada,"El uso de ""exigimos"" y el contexto de denunciar el secuestro indican una postura de indignación contra la acción del régimen.",DISCURSO_048_FR_004,DISCURSO_048
Presidente Javier Milei,determinación,realizada,"La frase ""agotaremos todas las vías diplomáticas"" expresa la firme intención y la determinación de lograr la liberación.",DISCURSO_048_FR_004,DISCURSO_048
Presidente Javier Milei,esperanza,realizada,"La expresión ""para devolverlo sano y salvo"" refleja la esperanza de que el proceso resulte exitoso y el individuo sea recuperado sin daños.",DISCURSO_048_FR_004,DISCURSO_048
Presidente Javier Milei,deseo,realizada,"El verbo 'quiero' expresa un deseo de saludar, indicando un estado emocional de deseo.",DISCURSO_048_FR_005,DISCURSO_048
Presidente Javier Milei,gratitud,realizada,"El enunciador agradece a los acompañantes, lo que indica una emoción de gratitud realizada.",DISCURSO_048_FR_006,DISCURSO_048
Presidente Javier Milei,aprecio,realizada,"El discurso reconoce la presencia de los acompañantes y la importancia de su apoyo, lo que sugiere una emoción de aprecio realizada.",DISCURSO_048_FR_006,DISCURSO_048
Presidente Javier Milei,orgullo,potencial,"El enunciador describe la jornada como 'inolvidable', una valoración positiva que sugiere que el enunciador siente orgullo potencial por el evento y los participantes.",DISCURSO_048_FR_006,DISCURSO_048
Presidente Javier Milei,honor,Realizada,La frase 'es un honor para mí' expresa directamente el sentimiento de honor del enunciador.,DISCURSO_048_FR_007,DISCURSO_048
Presidente Javier Milei,felicidad,Realizada,El enunciador expresa alegría al ofrecer sus más sinceras felicitaciones a los graduados.,DISCURSO_048_FR_009,DISCURSO_048
Presidente Javier Milei,orgullo,Realizada,El gesto de felicitar y reconocer el logro de los graduados implica orgullo por su desempeño.,DISCURSO_048_FR_009,DISCURSO_048
Presidente Javier Milei,orgullo,realizada,"El discurso celebra el logro de los graduados al concluir una etapa de formación, lo que implica un sentimiento de orgullo por su éxito.",DISCURSO_048_FR_011,DISCURSO_048
Presidente Javier Milei,esperanza,realizada,"Al afirmar que la nueva etapa implica que nunca dejarán de aprender, el enunciador proyecta una visión positiva y esperanzadora del futuro de los graduados.",DISCURSO_048_FR_011,DISCURSO_048
Presidente Javier Milei,orgullo,realizada,"El enunciador menciona que los sables representan los máximos principios y valores de los héroes emancipadores, lo que implica una valoración positiva y un sentimiento de orgullo por la tradición y por los graduados que recibirán el símbolo.",DISCURSO_048_FR_012,DISCURSO_048
Presidente Javier Milei,reverencia,realizada,"La referencia a los ""héroes emancipadores"" y a los ""máximos principios y valores"" sugiere una actitud de reverencia hacia la historia y los valores que los sables encarnan.",DISCURSO_048_FR_012,DISCURSO_048
Presidente Javier Milei,respeto,realizada,"El discurso reconoce la importancia de los valores y la tradición militar, lo que denota un sentimiento de respeto hacia la institución y sus símbolos.",DISCURSO_048_FR_012,DISCURSO_048
Presidente Javier Milei,anticipación,realizada,"La expresión ""en instantes"" indica que el acto de entrega está próximo, lo que genera una sensación de anticipación por parte del enunciador ante el evento.",DISCURSO_048_FR_012,DISCURSO_048
Presidente Javier Milei,orgullo,actual,"El discurso celebra la entrega de juramentos y la formación de nuevos oficiales, lo que sugiere un sentimiento de orgullo por la institución y por los oficiales que se comprometen a servir.",DISCURSO_048_FR_014,DISCURSO_048
