unit_idx,status,modelo_n,gold,modelo,frase
4,FN (modelo se perdio),0,Satisfaccion (Milei) [infer] (conf-baja),,"Parece que lo que decían como fenómeno barrial, se agrandó un poco el barrio."
23,FN (modelo se perdio),0,certeza (Milei) [infer] (conf-baja),,"Por lo tanto, cuando definimos bien mercado todas las definiciones de intervenci"
25,FN (modelo se perdio),0,certeza (Milei) [infer] (conf-baja),,Dos instituciones muy importantes son la propiedad privada y los mercados libres
31,FN (modelo se perdio),0,certeza (Milei) [infer] (conf-baja),,"En definitiva, la propiedad privada y los mercados libres determinan el funciona"
36,FN (modelo se perdio),0,reconocimiento (Milei) [infer] (conf-baja),,La división del trabajo quién mejor la explicó fue Adam Smith: una persona sola 
47,FN (modelo se perdio),0,estimulacion (Milei->desafío) [infer] (conf-baja) | estimulacion (audiencia->desafío) [sost/POTENCIAL] (conf-baja),,"Por lo tanto, dada esta introducción, vale la pena enfrentar, ahora, dónde está "
50,FN (modelo se perdio),0,satisfaccion/asombro (Milei) [infer] (conf-baja),,"Sin embargo, desde el año 1800 hasta aquí, se multiplicó por más de 15 veces, y "
57,FN (modelo se perdio),0,preocupación/temor (empresas) [sost] (conf-baja),,"Supongamos que tengo 10 empresas compitiendo por hacer teléfonos celulares, y un"
68,FN (modelo se perdio),0,preocupacion/desaprobacion (Milei) [infer] (conf-baja),,"Y si, además, tomamos el rol que toman las ganancias como elemento para generar "
70,FN (modelo se perdio),0,certeza (Milei) [infer] (conf-baja),,"Y en realidad la respuesta no está en el análisis económico, está en la estructu"
74,FN (modelo se perdio),0,desaprobacion (Milei) [infer] (conf-baja) | certeza (Milei) [infer] (conf-baja),,"Naturalmente, eso es un error matemático también porque si yo tengo rendimientos"
83,FN (modelo se perdio),0,certeza (Milei) [infer] (conf-baja),,No se pierde nada.
96,FN (modelo se perdio),0,desaprobacion (Milei) [infer] (conf-baja),,"Por un lado está la regulación de los monopolios, que al regular los monopolios "
100,FN (modelo se perdio),0,aprobacion (Milei->procesos de destruccion creativa) [infer] (conf-baja),,Porque estos procesos de destrucción creativa parten de la idea de resolver algu
125,FN (modelo se perdio),0,miedo (la gallina) [sost/PARABOLICO] (conf-baja),,Ahora vamos votar por qué se come hoy a la noche.
129,FN (modelo se perdio),0,desaprobacion (Milei->populismo) [infer] (conf-baja),,"No solo Venezuela, Argentina y todo el populismo latinoamericano."
145,FN (modelo se perdio),0,desaprobacion (Milei->Club de Roma) [infer] (conf-baja),,"o más cercano -a fines de la década del 60- el Club de Roma, donde el Club de Ro"
152,FN (modelo se perdio),0,optimismo (Milei) [infer] (conf-baja),,donde básicamente al haber más personas y haber problemas de escasez y demás eso
160,FN (modelo se perdio),0,agradecimiento/gratitud (Milei) [infer],,Muchas gracias.
