codigo,titulo,contenido
ctrl_001,Control ctrl_001,El horario de atención de la dependencia es de lunes a viernes de 9 a 16 horas.
ctrl_002,Control ctrl_002,El trámite requiere fotocopia del documento y constancia de domicilio actualizada.
ctrl_003,Control ctrl_003,La resolución 482/2026 establece los plazos de presentación para el ejercicio fiscal.
ctrl_004,Control ctrl_004,El sistema estará en mantenimiento programado el sábado entre las 2 y las 6.
ctrl_005,Control ctrl_005,Los formularios pueden descargarse del sitio oficial en formato PDF.
ctrl_006,Control ctrl_006,"La temperatura media de julio fue de 11,2 grados, según el registro mensual."
ctrl_007,Control ctrl_007,"El informe consta de tres secciones: metodología, resultados y anexos."
ctrl_008,Control ctrl_008,La parada de la línea 60 se traslada provisoriamente cincuenta metros al norte.
ctrl_009,Control ctrl_009,El padrón se actualiza los días hábiles a las 18 horas.
ctrl_010,Control ctrl_010,"Para consultas técnicas, dirigirse a la mesa de ayuda mediante el formulario web."
ctrl_011,Control ctrl_011,La superficie del predio es de 4.200 metros cuadrados distribuidos en dos plantas.
ctrl_012,Control ctrl_012,El vencimiento de la segunda cuota opera el décimo día hábil del mes.
ctrl_013,Control ctrl_013,Se adjunta el cronograma de actividades correspondiente al segundo semestre.
ctrl_014,Control ctrl_014,El protocolo indica verificar la conexión antes de reiniciar el equipo.
ctrl_015,Control ctrl_015,La biblioteca permanecerá cerrada por inventario del 12 al 16 del corriente.
